Topic,Subtopic,Item ID,Subtopic ID,Level,Level ID,Band,Node
Biological Bases,Nervous System,308008,S08,Applying,3,Band3,Node08
Biological Bases,Nervous System,308009,S08,Applying,3,Band3,Node08
Biological Bases,Nervous System,308010,S08,Applying,3,Band3,Node08
Biological Bases,The Cerebrum,309001,S09,Remembering,1,Band3,Node09
Biological Bases,The Cerebrum,309002,S09,Remembering,1,Band3,Node09
Biological Bases,The Cerebrum,309003,S09,Remembering,1,Band3,Node09
Biological Bases,The Cerebrum,309004,S09,Understanding,2,Band3,Node09
Biological Bases,The Cerebrum,309005,S09,Understanding,2,Band3,Node09
Biological Bases,The Cerebrum,309006,S09,Understanding,2,Band3,Node09
Biological Bases,The Cerebrum,309007,S09,Understanding,2,Band3,Node09
Biological Bases,The Cerebrum,309008,S09,Applying,3,Band3,Node09
Biological Bases,The Cerebrum,309009,S09,Applying,3,Band3,Node09
Biological Bases,The Cerebrum,309010,S09,Applying,3,Band3,Node09
Biological Bases,The Cerebrum,309011,S09,Applying,3,Band3,Node09
Biological Bases,The Cerebrum,309012,S09,Applying,3,Band3,Node09
Sensation & Perception,Sensation,410001,S10,Remembering,1,Band4,Node10
Sensation & Perception,Sensation,410002,S10,Remembering,1,Band4,Node10
Sensation & Perception,Sensation,410003,S10,Remembering,1,Band4,Node10
Sensation & Perception,Sensation,410004,S10,Understanding,2,Band4,Node10
Sensation & Perception,Sensation,410005,S10,Understanding,2,Band4,Node10
Sensation & Perception,Sensation,410006,S10,Understanding,2,Band4,Node10
Sensation & Perception,Sensation,410007,S10,Understanding,2,Band4,Node10
Sensation & Perception,Sensation,410008,S10,Applying,3,Band4,Node10
Sensation & Perception,Sensation,410009,S10,Applying,3,Band4,Node10
Sensation & Perception,Sensation,410010,S10,Applying,3,Band4,Node10
Sensation & Perception,Perception,411001,S11,Remembering,1,Band4,Node11
Sensation & Perception,Perception,411002,S11,Remembering,1,Band4,Node11
Sensation & Perception,Perception,411003,S11,Remembering,1,Band4,Node11
Sensation & Perception,Perception,411004,S11,Remembering,1,Band4,Node11
Sensation & Perception,Perception,411005,S11,Understanding,2,Band4,Node11
Sensation & Perception,Perception,411006,S11,Understanding,2,Band4,Node11
Sensation & Perception,Perception,411007,S11,Understanding,2,Band4,Node11
Sensation & Perception,Perception,411008,S11,Applying,3,Band4,Node11
Sensation & Perception,Perception,411009,S11,Applying,3,Band4,Node11
Sensation & Perception,Perception,411010,S11,Applying,3,Band4,Node11
Sensation & Perception,Perception,411011,S11,Applying,3,Band4,Node11
Memory,Structure and Function,512001,S12,Remembering,1,Band5,Node12
Memory,Structure and Function,512002,S12,Remembering,1,Band5,Node12
Memory,Structure and Function,512003,S12,Remembering,1,Band5,Node12
Memory,Structure and Function,512004,S12,Remembering,1,Band5,Node12
Memory,Structure and Function,512005,S12,Understanding,2,Band5,Node12
Memory,Structure and Function,512006,S12,Understanding,2,Band5,Node12
Memory,Structure and Function,512007,S12,Understanding,2,Band5,Node12
Memory,Structure and Function,512008,S12,Understanding,2,Band5,Node12
Memory,Structure and Function,512009,S12,Applying,3,Band5,Node12
Memory,Structure and Function,512010,S12,Applying,3,Band5,Node12
Memory,Structure and Function,512011,S12,Applying,3,Band5,Node12
Memory,Encoding and Retrieval,513001,S13,Remembering,1,Band5,Node13
Memory,Encoding and Retrieval,513002,S13,Remembering,1,Band5,Node13
Memory,Encoding and Retrieval,513003,S13,Remembering,1,Band5,Node13
Memory,Encoding and Retrieval,513004,S13,Remembering,1,Band5,Node13
Memory,Encoding and Retrieval,513005,S13,Understanding,2,Band5,Node13
Memory,Encoding and Retrieval,513006,S13,Understanding,2,Band5,Node13
Memory,Encoding and Retrieval,513007,S13,Understanding,2,Band5,Node13
Memory,Encoding and Retrieval,513008,S13,Applying,3,Band5,Node13
Memory,Encoding and Retrieval,513009,S13,Applying,3,Band5,Node13
Memory,Encoding and Retrieval,513010,S13,Applying,3,Band5,Node13
Memory,Forgetting and Memory Errors,514001,S14,Remembering,1,Band5,Node14
Memory,Forgetting and Memory Errors,514002,S14,Remembering,1,Band5,Node14
Memory,Forgetting and Memory Errors,514003,S14,Remembering,1,Band5,Node14
Memory,Forgetting and Memory Errors,514004,S14,Understanding,2,Band5,Node14
Memory,Forgetting and Memory Errors,514005,S14,Understanding,2,Band5,Node14
Memory,Forgetting and Memory Errors,514006,S14,Understanding,2,Band5,Node14
Memory,Forgetting and Memory Errors,514007,S14,Understanding,2,Band5,Node14
Memory,Forgetting and Memory Errors,514008,S14,Applying,3,Band5,Node14
Memory,Forgetting and Memory Errors,514009,S14,Applying,3,Band5,Node14
Memory,Forgetting and Memory Errors,514010,S14,Applying,3,Band5,Node14
Memory,Forgetting and Memory Errors,514011,S14,Applying,3,Band5,Node14
Thinking & Intelligence,Concept Representation,615001,S15,Remembering,1,Band6,Node15
Thinking & Intelligence,Concept Representation,615002,S15,Remembering,1,Band6,Node15
Thinking & Intelligence,Concept Representation,615003,S15,Remembering,1,Band6,Node15
Thinking & Intelligence,Concept Representation,615004,S15,Understanding,2,Band6,Node15
Thinking & Intelligence,Concept Representation,615005,S15,Understanding,2,Band6,Node15
Thinking & Intelligence,Concept Representation,615006,S15,Understanding,2,Band6,Node15
Thinking & Intelligence,Concept Representation,615007,S15,Applying,3,Band6,Node15
Thinking & Intelligence,Concept Representation,615008,S15,Applying,3,Band6,Node15
Thinking & Intelligence,Concept Representation,615009,S15,Applying,3,Band6,Node15
Thinking & Intelligence,Intelligence,616001,S16,Remembering,1,Band6,Node16
Thinking & Intelligence,Intelligence,616002,S16,Remembering,1,Band6,Node16
Thinking & Intelligence,Intelligence,616003,S16,Remembering,1,Band6,Node16
Thinking & Intelligence,Intelligence,616004,S16,Understanding,2,Band6,Node16
Thinking & Intelligence,Intelligence,616005,S16,Understanding,2,Band6,Node16
Thinking & Intelligence,Intelligence,616006,S16,Understanding,2,Band6,Node16
Thinking & Intelligence,Intelligence,616007,S16,Understanding,2,Band6,Node16
Thinking & Intelligence,Intelligence,616008,S16,Applying,3,Band6,Node16
Thinking & Intelligence,Intelligence,616009,S16,Applying,3,Band6,Node16
Thinking & Intelligence,Intelligence,616010,S16,Applying,3,Band6,Node16
Thinking & Intelligence,Intelligence,616011,S16,Applying,3,Band6,Node16
Thinking & Intelligence,Problem Solving,617001,S17,Remembering,1,Band6,Node17
Thinking & Intelligence,Problem Solving,617002,S17,Remembering,1,Band6,Node17
Thinking & Intelligence,Problem Solving,617003,S17,Remembering,1,Band6,Node17
Thinking & Intelligence,Problem Solving,617004,S17,Understanding,2,Band6,Node17
Thinking & Intelligence,Problem Solving,617005,S17,Understanding,2,Band6,Node17
Thinking & Intelligence,Problem Solving,617006,S17,Understanding,2,Band6,Node17
Thinking & Intelligence,Problem Solving,617007,S17,Applying,3,Band6,Node17
Thinking & Intelligence,Problem Solving,617008,S17,Applying,3,Band6,Node17
Thinking & Intelligence,Problem Solving,617009,S17,Applying,3,Band6,Node17
Thinking & Intelligence,Problem Solving,617010,S17,Applying,3,Band6,Node17
